Date,Store,DayOfWeek,Promo,Customers,Sales
2025-03-01,Store_1,6,0,110,1860
2025-03-02,Store_1,7,1,307,5092
2025-03-03,Store_1,1,0,67,1330
2025-03-04,Store_1,2,0,177,3919
2025-03-05,Store_1,3,0,79,1769
2025-03-06,Store_1,4,1,263,4433
2025-03-07,Store_1,5,0,69,1459
2025-03-08,Store_1,6,0,217,3904
2025-03-09,Store_1,7,0,307,4753
2025-03-10,Store_1,1,1,194,3806
2025-03-11,Store_1,2,1,353,6658
2025-03-12,Store_1,3,1,228,3528
2025-03-13,Store_1,4,0,157,3068
2025-03-14,Store_1,5,0,64,1600
2025-03-15,Store_1,6,1,318,4824
2025-03-16,Store_1,7,0,161,3139
2025-03-17,Store_1,1,0,152,3556
2025-03-18,Store_1,2,0,236,4152
2025-03-19,Store_1,3,0,211,4073
2025-03-20,Store_1,4,0,287,4843
2025-03-21,Store_1,5,1,114,2161
2025-03-22,Store_1,6,1,378,6911
2025-03-23,Store_1,7,0,147,2275
2025-03-24,Store_1,1,0,167,3767
2025-03-25,Store_1,2,0,96,1791
2025-03-26,Store_1,3,0,77,1379
2025-03-27,Store_1,4,0,310,4884
2025-03-28,Store_1,5,1,224,4027
2025-03-29,Store_1,6,0,114,2522
2025-03-30,Store_1,7,1,411,6474
2025-03-01,Store_2,6,0,127,3088
2025-03-02,Store_2,7,1,375,6875
2025-03-03,Store_2,1,0,159,3454
2025-03-04,Store_2,2,0,174,3731
2025-03-05,Store_2,3,1,207,4690
2025-03-06,Store_2,4,0,217,3814
2025-03-07,Store_2,5,0,62,1206
2025-03-08,Store_2,6,0,145,2484
2025-03-09,Store_2,7,1,124,2563
2025-03-10,Store_2,1,0,201,3532
2025-03-11,Store_2,2,0,249,4242
2025-03-12,Store_2,3,1,169,3722
2025-03-13,Store_2,4,1,204,4729
2025-03-14,Store_2,5,0,188,3693
2025-03-15,Store_2,6,0,98,2363
2025-03-16,Store_2,7,0,155,2529
2025-03-17,Store_2,1,0,201,3237
2025-03-18,Store_2,2,0,158,3680
2025-03-19,Store_2,3,1,134,2709
2025-03-20,Store_2,4,0,216,4748
2025-03-21,Store_2,5,0,68,1663
2025-03-22,Store_2,6,0,127,2631
2025-03-23,Store_2,7,0,115,2853
2025-03-24,Store_2,1,1,254,5581
2025-03-25,Store_2,2,1,203,3636
2025-03-26,Store_2,3,0,127,3160
2025-03-27,Store_2,4,0,104,1854
2025-03-28,Store_2,5,1,251,5474
2025-03-29,Store_2,6,0,151,3777
2025-03-30,Store_2,7,0,116,1835
2025-03-01,Store_3,6,0,62,1400
2025-03-02,Store_3,7,0,158,3931
2025-03-03,Store_3,1,0,288,4582
2025-03-04,Store_3,2,1,156,3147
2025-03-05,Store_3,3,0,133,2794
2025-03-06,Store_3,4,0,156,3450
2025-03-07,Store_3,5,1,243,5219
2025-03-08,Store_3,6,0,209,3976
2025-03-09,Store_3,7,0,239,3919
2025-03-10,Store_3,1,0,205,3520
2025-03-11,Store_3,2,0,248,4369
2025-03-12,Store_3,3,0,136,3393
2025-03-13,Store_3,4,0,107,1880
2025-03-14,Store_3,5,0,229,4723
2025-03-15,Store_3,6,1,228,4056
2025-03-16,Store_3,7,1,177,4255
2025-03-17,Store_3,1,1,217,5191
2025-03-18,Store_3,2,1,219,3648
2025-03-19,Store_3,3,1,284,5923
2025-03-20,Store_3,4,0,115,2496
2025-03-21,Store_3,5,0,161,2919
2025-03-22,Store_3,6,0,196,4234
2025-03-23,Store_3,7,0,76,1160
2025-03-24,Store_3,1,0,80,1815
2025-03-25,Store_3,2,0,97,2158
2025-03-26,Store_3,3,0,234,3735
2025-03-27,Store_3,4,0,253,4446
2025-03-28,Store_3,5,0,173,3277
2025-03-29,Store_3,6,1,276,5354
2025-03-30,Store_3,7,0,225,4680
2025-03-01,Store_4,6,0,83,1452
2025-03-02,Store_4,7,0,300,4587
2025-03-03,Store_4,1,0,40,1016
2025-03-04,Store_4,2,0,85,2069
2025-03-05,Store_4,3,0,112,2768
2025-03-06,Store_4,4,0,52,1301
2025-03-07,Store_4,5,1,174,3139
2025-03-08,Store_4,6,0,169,3006
2025-03-09,Store_4,7,0,149,3065
2025-03-10,Store_4,1,1,105,2569
2025-03-11,Store_4,2,0,76,1625
2025-03-12,Store_4,3,1,285,5009
2025-03-13,Store_4,4,0,75,1784
2025-03-14,Store_4,5,0,66,1245
2025-03-15,Store_4,6,0,198,3806
2025-03-16,Store_4,7,0,143,3455
2025-03-17,Store_4,1,0,230,4896
2025-03-18,Store_4,2,0,220,4847
2025-03-19,Store_4,3,1,124,2971
2025-03-20,Store_4,4,0,277,4425
2025-03-21,Store_4,5,0,101,1853
2025-03-22,Store_4,6,0,238,4261
2025-03-23,Store_4,7,0,252,4413
2025-03-24,Store_4,1,0,260,4854
2025-03-25,Store_4,2,0,173,4040
2025-03-26,Store_4,3,0,220,4691
2025-03-27,Store_4,4,0,110,1876
2025-03-28,Store_4,5,0,183,3914
2025-03-29,Store_4,6,1,257,6364
2025-03-30,Store_4,7,1,160,3682
2025-03-01,Store_5,6,0,208,4675
2025-03-02,Store_5,7,0,184,4545
2025-03-03,Store_5,1,1,205,3931
2025-03-04,Store_5,2,0,77,1512
2025-03-05,Store_5,3,0,96,2141
2025-03-06,Store_5,4,0,231,4956
2025-03-07,Store_5,5,0,82,1703
2025-03-08,Store_5,6,0,212,3294
2025-03-09,Store_5,7,0,199,4506
2025-03-10,Store_5,1,0,145,2243
2025-03-11,Store_5,2,0,111,2773
2025-03-12,Store_5,3,0,247,3959
2025-03-13,Store_5,4,0,83,1550
2025-03-14,Store_5,5,0,71,1356
2025-03-15,Store_5,6,0,205,4908
2025-03-16,Store_5,7,0,234,4977
2025-03-17,Store_5,1,0,187,3816
2025-03-18,Store_5,2,0,260,4087
2025-03-19,Store_5,3,0,63,1496
2025-03-20,Store_5,4,0,89,1851
2025-03-21,Store_5,5,0,210,3427
2025-03-22,Store_5,6,1,225,5498
2025-03-23,Store_5,7,0,113,2440
2025-03-24,Store_5,1,0,81,1284
2025-03-25,Store_5,2,0,322,4969
2025-03-26,Store_5,3,0,240,3774
2025-03-27,Store_5,4,0,228,4993
2025-03-28,Store_5,5,0,62,1114
2025-03-29,Store_5,6,0,247,4572
2025-03-30,Store_5,7,1,118,2728
